year,sales,generation,make,model
1967,220906,1,Chevrolet,Camaro
1968,235147,1,Chevrolet,Camaro
1969,243085,1,Chevrolet,Camaro
1970,124901,2,Chevrolet,Camaro
1971,114630,2,Chevrolet,Camaro
1972,68651,2,Chevrolet,Camaro
1973,96571,2,Chevrolet,Camaro
1974,151008,2,Chevrolet,Camaro
1975,145770,2,Chevrolet,Camaro
1976,182959,2,Chevrolet,Camaro
1977,218853,2,Chevrolet,Camaro
1978,272631,2,Chevrolet,Camaro
1979,282571,2,Chevrolet,Camaro
1980,152005,2,Chevrolet,Camaro
1981,126139,2,Chevrolet,Camaro
1982,189747,3,Chevrolet,Camaro
1983,154381,3,Chevrolet,Camaro
1984,261591,3,Chevrolet,Camaro
1985,180018,3,Chevrolet,Camaro
1986,192219,3,Chevrolet,Camaro
1987,137760,3,Chevrolet,Camaro
1988,96275,3,Chevrolet,Camaro
1989,110739,3,Chevrolet,Camaro
1990,34986,3,Chevrolet,Camaro
1991,100838,3,Chevrolet,Camaro
1992,70007,3,Chevrolet,Camaro
1993,39103,4,Chevrolet,Camaro
1994,119799,4,Chevrolet,Camaro
1995,122738,4,Chevrolet,Camaro
1996,61362,4,Chevrolet,Camaro
1997,60202,4,Chevrolet,Camaro
1998,54026,4,Chevrolet,Camaro
1999,42098,4,Chevrolet,Camaro
2000,45461,4,Chevrolet,Camaro
2001,29009,4,Chevrolet,Camaro
2002,41776,4,Chevrolet,Camaro
2010,81299,5,Chevrolet,Camaro
2011,88249,5,Chevrolet,Camaro
2012,84391,5,Chevrolet,Camaro
2013,80567,5,Chevrolet,Camaro
2014,86297,5,Chevrolet,Camaro
2015,77502,5,Chevrolet,Camaro
2016,72705,6,Chevrolet,Camaro
2017,67940,6,Chevrolet,Camaro
2018,50963,6,Chevrolet,Camaro
2019,48265,6,Chevrolet,Camaro
2020,29775,6,Chevrolet,Camaro
2021,21893,6,Chevrolet,Camaro
2022,24652,6,Chevrolet,Camaro
2023,31028,6,Chevrolet,Camaro
2024,5859,6,Chevrolet,Camaro
