year,sales,generation,make,model
1967,220906,1,Chevrolet,Camaro
1968,235147,1,Chevrolet,Camaro
1969,243085,1,Chevrolet,Camaro
1970,124901,2,Chevrolet,Camaro
1971,114630,2,Chevrolet,Camaro
1972,68651,2,Chevrolet,Camaro
1973,96571,2,Chevrolet,Camaro
1974,151008,2,Chevrolet,Camaro
1975,145770,2,Chevrolet,Camaro
1976,182959,2,Chevrolet,Camaro
1977,218853,2,Chevrolet,Camaro
1978,272631,2,Chevrolet,Camaro
1979,282571,2,Chevrolet,Camaro
1980,152005,2,Chevrolet,Camaro
1981,126139,2,Chevrolet,Camaro
1982,189747,3,Chevrolet,Camaro
1983,154381,3,Chevrolet,Camaro
1984,261591,3,Chevrolet,Camaro
1985,180018,3,Chevrolet,Camaro
1986,192219,3,Chevrolet,Camaro
1987,137760,3,Chevrolet,Camaro
1988,96275,3,Chevrolet,Camaro
1989,110739,3,Chevrolet,Camaro
1990,34986,3,Chevrolet,Camaro
1991,100838,3,Chevrolet,Camaro
1992,70007,3,Chevrolet,Camaro
1993,39103,4,Chevrolet,Camaro
1994,119799,4,Chevrolet,Camaro
1995,122738,4,Chevrolet,Camaro
1996,61362,4,Chevrolet,Camaro
1997,60202,4,Chevrolet,Camaro
1998,54026,4,Chevrolet,Camaro
1999,42098,4,Chevrolet,Camaro
2000,45461,4,Chevrolet,Camaro
2001,29009,4,Chevrolet,Camaro
2002,41776,4,Chevrolet,Camaro
2010,81299,5,Chevrolet,Camaro
2011,88249,5,Chevrolet,Camaro
2012,84391,5,Chevrolet,Camaro
2013,80567,5,Chevrolet,Camaro
2014,86297,5,Chevrolet,Camaro
2015,77502,5,Chevrolet,Camaro
2016,72705,6,Chevrolet,Camaro
2017,67940,6,Chevrolet,Camaro
2018,50963,6,Chevrolet,Camaro
2019,48265,6,Chevrolet,Camaro
2020,29775,6,Chevrolet,Camaro
2021,21893,6,Chevrolet,Camaro
2022,24652,6,Chevrolet,Camaro
1964,121538,1,Ford,Mustang
1965,559451,1,Ford,Mustang
1966,607568,1,Ford,Mustang
1967,472121,1,Ford,Mustang
1968,317404,1,Ford,Mustang
1969,299824,1,Ford,Mustang
1970,191239,1,Ford,Mustang
1971,151484,1,Ford,Mustang
1972,125813,1,Ford,Mustang
1973,134817,1,Ford,Mustang
1974,385993,2,Ford,Mustang
1975,188575,2,Ford,Mustang
1976,187567,2,Ford,Mustang
1977,153173,2,Ford,Mustang
1978,192410,2,Ford,Mustang
1979,369936,3,Ford,Mustang
1980,271322,3,Ford,Mustang
1981,182552,3,Ford,Mustang
1982,130418,3,Ford,Mustang
1983,120873,3,Ford,Mustang
1984,141480,3,Ford,Mustang
1985,156514,3,Ford,Mustang
1986,224410,3,Ford,Mustang
1987,169772,3,Ford,Mustang
1988,211225,3,Ford,Mustang
1989,209769,3,Ford,Mustang
1990,128189,3,Ford,Mustang
1991,98737,3,Ford,Mustang
1992,79280,3,Ford,Mustang
1993,114335,3,Ford,Mustang
1994,123198,4,Ford,Mustang
1995,136962,4,Ford,Mustang
1996,122674,4,Ford,Mustang
1997,116610,4,Ford,Mustang
1998,144732,4,Ford,Mustang
1999,166915,4,Ford,Mustang
2000,173676,4,Ford,Mustang
2001,169198,4,Ford,Mustang
2002,138356,4,Ford,Mustang
2003,140350,4,Ford,Mustang
2004,129858,4,Ford,Mustang
2005,160975,5,Ford,Mustang
2006,166530,5,Ford,Mustang
2007,134626,5,Ford,Mustang
2008,91251,5,Ford,Mustang
2009,66623,5,Ford,Mustang
2010,73716,5,Ford,Mustang
2011,70438,5,Ford,Mustang
2012,82995,5,Ford,Mustang
2013,77186,5,Ford,Mustang
2014,82635,5,Ford,Mustang
2015,122349,6,Ford,Mustang
2016,105932,6,Ford,Mustang
2017,81866,6,Ford,Mustang
2018,75842,6,Ford,Mustang
2019,72489,6,Ford,Mustang
2020,61090,6,Ford,Mustang
2021,52414,6,Ford,Mustang
2022,47566,6,Ford,Mustang
